# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Feb 05 20:13:49 GMT 2021 [seed=1612556019501]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-83777.11260721117	-55.73168600462587	-83721.38092120654	1.2728825379981166	2019.265368828122	7.104552732838037	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-83721.38092120654	0.0	-34.703193128054096
10000	-41012.035085577765	-4.890374951911075	-41007.14471062586	0.4995402508047409	2020.0387111153154	2.683027336314406	0.42127182981836186	15.158102483569817	0.4457555712847917	5.793994952586615	0.2995227715185192	0.18163672759009514	0.1906102429400357	0.32823025795134997	0.1606095386364555	0.0012749394004930848	0.0012749394004930841	-41007.14471062586	0.0	5.517412784351882
20000	-41001.77481317971	-11.96616279749715	-40989.80865038221	0.5080041497946225	2020.0302472163255	3.2090256826406307	2.1681705800940185	29.731635557153076	0.3782646625063349	6.2527479412093605	0.30084550126131393	0.1804378437394126	0.19537906054172727	0.32333759445754623	0.05291228473261906	0.001045738670067308	0.001045738670067308	-40989.80865038221	0.0	-0.6555947185426807
30000	-41005.56942257387	-12.067159566274238	-40993.5022630076	0.49968152623285705	2020.0385698398873	3.2862851365017525	0.5293869369387768	30.39789128030451	0.4395515893736881	4.816118723649721	0.3022026220641923	0.1804644492687819	0.19504104779644266	0.32229188087058297	0.013118493659686507	0.001194886669124708	0.0011948866691247077	-40993.5022630076	0.0	-2.0842597472810054
40000	-41002.28696950733	-10.793059110618628	-40991.49391039671	0.5264979035426514	2020.0117534625776	3.2352282859705386	0.7039765237467766	32.21674763707462	0.410941755168483	5.270883799169649	0.29603823635508514	0.18248262045297375	0.19855569770940906	0.322923445482532	0.06838329522011664	0.0013213966211046615	0.0013213966211046617	-40991.49391039671	0.0	-0.38574286449133854
50000	-41003.58716575405	-16.217403879033984	-40987.369761875016	0.5196553908815235	2020.0185959752387	3.7030957048429114	1.755398012174086	41.60011202151585	0.41515801333681573	4.717099609508103	0.30130859236987356	0.18337243162499178	0.19561182092631305	0.3197071550788217	0.04422646196749358	9.646811796339801E-4	9.646811796339807E-4	-40987.369761875016	0.0	-5.424575355454966
60000	-40992.02542600035	-16.282631436949412	-40975.7427945634	0.5252362970781365	2020.013015069042	3.7196602170253694	1.5394058727987987	42.43859224630281	0.41327565779286146	4.9348236701389245	0.2962737082985562	0.18397463285864335	0.19391987215271989	0.3258317866900806	0.07005493015484711	7.896971865197579E-4	7.896971865197579E-4	-40975.7427945634	0.0	-5.590341080681328
70000	-41000.19628794596	-15.231607240819441	-40984.96468070514	0.5093905320105604	2020.0288608341098	3.9768229058559554	2.3200082558792405	49.30335661189717	0.4091702461891235	4.355376677090135	0.30197517745475333	0.18583096441784258	0.1904085993125782	0.32178525881482595	0.09003873580896322	8.203797620379703E-4	8.203797620379703E-4	-40984.96468070514	0.0	-4.2494055646730615
80000	-40995.001182150045	-16.185927264944546	-40978.8152548851	0.5126457361083832	2020.0256056300118	3.806129967214085	1.6598399641661519	54.150774051414025	0.420816598058363	5.1181737979288195	0.29903063731907453	0.18140519713324274	0.19449905701292988	0.32506510853475273	0.09833128287889292	9.09278636504042E-4	9.092786365040421E-4	-40978.8152548851	0.0	-5.126200855752381
90000	-40994.55267801119	-15.730602428375391	-40978.822075582815	0.5233514572802779	2020.0148999088399	4.395603631077933	2.3003991994191946	61.995051624652874	0.43083366264857825	4.070211240898602	0.29894557199569183	0.18537032862969322	0.1981224370456444	0.31756166232897054	0.18867241278939226	8.665157998476492E-4	8.66515799847649E-4	-40978.822075582815	0.0	-4.489635488526833
